,Unnamed: 0,host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable,pricen
7181,2799,43.0,2,1.0,1.0,1,3,34,38,$169.00,52.3793923449,4.880427279,Entire home/apt,t,169.0
7182,28,1.0,2,1.0,1.0,1,3,11,1,$115.00,52.3663101894,4.8695184368,Entire home/apt,f,115.0
7183,280,1.0,4,1.0,3.0,1,5,0,1,$125.00,52.4054250336,4.9333148214,Entire home/apt,f,125.0
7184,2800,1.0,4,1.5,4.0,1,2,5,1,$350.00,52.3743575497,4.8849971652,Entire home/apt,f,350.0
7185,2801,1.0,4,1.5,3.0,1,7,0,1,$250.00,52.3840997535,4.884714897,Entire home/apt,t,250.0
7186,2802,1.0,2,1.0,1.0,1,3,41,1,$180.00,52.3761561322,4.8858432449,Entire home/apt,f,180.0
7187,2803,2.0,4,1.5,2.0,2,2,10,2,$120.00,52.3845014937,4.8880801212,Entire home/apt,f,120.0
7188,2804,1.0,4,2.0,2.0,1,3,6,1,$330.00,52.380756695200006,4.8823380777,Entire home/apt,f,330.0
7189,2805,1.0,2,2.5,1.0,1,3,5,1,$150.00,52.37226644020001,4.8939529044,Private room,f,150.0
7190,2806,1.0,4,2.5,2.0,1,2,7,1,$300.00,52.3755402495,4.8784487119,Entire home/apt,f,300.0
7191,2807,2.0,3,1.0,1.0,2,4,43,2,$110.00,52.3876909776,4.8879195259,Entire home/apt,f,110.0
7192,2808,1.0,2,1.5,1.0,1,2,5,1,$75.00,52.37176968520001,4.8955875598,Private room,f,75.0
7193,2809,1.0,2,1.0,1.0,1,2,11,1,$90.00,52.3702798811,4.8851089837,Entire home/apt,f,90.0
7194,281,1.0,2,1.0,1.0,1,2,21,1,$125.00,52.4017375688,4.9368877412,Entire home/apt,f,125.0
7195,2810,1.0,3,1.0,1.0,2,2,7,1,$159.00,52.38043925229999,4.8849472263,Entire home/apt,f,159.0
7196,2811,1.0,2,1.0,1.0,1,1,20,1,$85.00,52.3732100058,4.8823445133,Private room,f,85.0
7197,2812,1.0,2,1.0,0.0,2,2,28,1,$154.00,52.3879682018,4.892248620299999,Entire home/apt,f,154.0
7198,2813,1.0,8,2.0,5.0,4,5,19,1,$275.00,52.3791733096,4.884592495,Entire home/apt,f,275.0
7199,2814,3.0,2,1.0,1.0,1,2,173,3,$69.00,52.3670372542,4.8820395195,Private room,f,69.0
7200,2815,15.0,2,1.5,1.0,1,1,19,15,$120.00,52.3750771526,4.9001909470000005,Private room,f,120.0
7201,2816,1.0,2,1.0,1.0,1,2,109,1,$110.00,52.3684078977,4.884133705,Private room,f,110.0
7202,2817,43.0,2,1.0,1.0,2,2,8,42,$100.00,52.383515028000005,4.8823517473,Entire home/apt,f,100.0
7203,2818,2.0,2,1.0,1.0,1,2,0,2,$55.00,52.3810753641,4.8882362205000005,Private room,f,55.0
7204,2819,1.0,2,1.0,1.0,2,1,31,1,$135.00,52.3688897005,4.8835176935,Private room,t,135.0
7205,282,1.0,2,1.0,1.0,1,2,20,1,$60.00,52.3955333059,4.9410197683999995,Private room,f,60.0
7206,2820,103.0,4,1.5,1.0,1,2,1,91,$200.00,52.368423111300004,4.8817873078,Entire home/apt,t,200.0
7207,2821,2.0,2,1.0,1.0,1,3,131,2,$139.00,52.369420478100004,4.8840103397000005,Private room,t,139.0
7208,2822,1.0,2,2.0,1.0,1,3,11,1,$160.00,52.3751251759,4.885751372,Entire home/apt,f,160.0
7209,2823,1.0,2,1.0,1.0,1,2,12,1,$176.00,52.375718923,4.882937619100001,Entire home/apt,f,176.0
7210,2824,2.0,8,4.0,4.0,1,1,0,2,$150.00,52.3707880063,4.8924608837,Entire home/apt,t,150.0
7211,2825,1.0,3,1.0,1.0,2,1,2,1,$90.00,52.378947097600005,4.8949077356999995,Private room,t,90.0
7212,2826,1.0,2,1.0,1.0,1,3,10,1,$160.00,52.3856570872,4.8859263104,Entire home/apt,f,160.0
7213,2827,2.0,8,1.5,2.0,2,3,24,2,$200.00,52.3701676623,4.8933455422000005,Entire home/apt,f,200.0
